pcnfolder,mean_marker_error_RMS,sd_marker_error_RMS,mean_marker_error_max,sd_marker_error_max
14_1_44_p0,0.028,0.001,0.052,0.006
14_1_47_p1,0.025,0.002,0.052,0.008
14_1_48_p1,0.025,0.001,0.055,0.008
14_1_49_p1,0.042,0.017,0.105,0.048
14_1_4_p0,0.027,0.003,0.052,0.014
14_1_50_p1,0.029,0.003,0.065,0.012
14_1_51_p1,0.028,0.004,0.06,0.012
14_1_52_p1,0.03,0.004,0.07,0.023
14_1_53_p1,0.025,0.003,0.055,0.013
14_1_5_p0,0.044,0.02,0.095,0.053
14_1_6_p0,0.036,0.007,0.077,0.026
14_1_7_p0,0.035,0.015,0.083,0.068
14_1_8_p0,0.029,0.002,0.057,0.01
14_1_tpose_p0,0.029,0.001,0.054,0.003
14_1_tpose_p1,0.026,0.001,0.049,0.004
14_2_100_p1,0.027,0.002,0.062,0.011
14_2_101_p1,0.024,0.001,0.05,0.009
14_2_102_p1,0.023,0.001,0.051,0.007
14_2_103_p1,0.026,0.003,0.056,0.017
14_2_104_p1,0.028,0.002,0.056,0.01
14_2_105_p1,0.028,0.002,0.054,0.007
14_2_10_p0,0.031,0.002,0.063,0.007
14_2_11_p0,0.048,0.017,0.103,0.047
14_2_12_p0,0.048,0.014,0.111,0.049
14_2_13_p0,0.034,0.003,0.072,0.014
14_2_14_p0,0.03,0.003,0.057,0.009
14_2_15_p0,0.032,0.003,0.072,0.025
14_2_16_p0,0.03,0.002,0.062,0.011
14_2_17_p0,0.032,0.004,0.069,0.02
14_2_18_p0,0.03,0.002,0.055,0.009
14_2_22_p1,0.026,0.002,0.053,0.007
14_2_23_p1,0.027,0.003,0.055,0.008
14_2_24_p1,0.029,0.007,0.067,0.014
14_2_25_p1,0.029,0.004,0.07,0.02
14_2_26_p1,0.029,0.003,0.061,0.012
14_2_27_p1,0.029,0.003,0.062,0.01
14_2_28_p1,0.029,0.003,0.065,0.016
14_2_29_p1,0.027,0.002,0.06,0.013
14_2_30_p1,0.027,0.002,0.061,0.016
14_2_31_p1,0.031,0.003,0.069,0.013
14_2_32_p1,0.031,0.003,0.066,0.009
14_2_33_p1,0.024,0.002,0.053,0.012
14_2_37_p0,0.028,0.001,0.049,0.005
14_2_38_p0,0.035,0.003,0.068,0.014
14_2_39_p0,0.034,0.005,0.07,0.011
14_2_40_p0,0.028,0.002,0.056,0.01
14_2_41_p0,0.026,0.005,0.052,0.012
14_2_42_p0,0.027,0.002,0.056,0.012
14_2_43_p0,0.031,0.005,0.058,0.013
14_2_48_p1,0.026,0.003,0.055,0.012
14_2_49_p1,0.025,0.003,0.055,0.015
14_2_50_p1,0.026,0.002,0.05,0.007
14_2_51_p1,0.032,0.004,0.066,0.014
14_2_52_p1,0.026,0.002,0.052,0.007
14_2_53_p1,0.026,0.002,0.049,0.007
14_2_54_p1,0.025,0.002,0.055,0.009
14_2_55_p1,0.026,0.003,0.054,0.01
14_2_56_p1,0.033,0.007,0.07,0.023
14_2_57_p1,0.033,0.005,0.074,0.013
14_2_58_p1,0.03,0.003,0.065,0.018
14_2_59_p1,0.038,0.012,0.09,0.041
14_2_5_p0,0.029,0.004,0.06,0.011
14_2_60_p1,0.028,0.003,0.059,0.012
14_2_66_p0,0.025,0.001,0.045,0.003
14_2_67_p0,0.025,0.001,0.048,0.004
14_2_68_p0,0.026,0.002,0.047,0.004
14_2_69_p0,0.027,0.001,0.05,0.003
14_2_6_p0,0.063,0.025,0.123,0.049
14_2_70_p0,0.026,0.002,0.05,0.009
14_2_71_p0,0.025,0.003,0.048,0.008
14_2_72_p0,0.025,0.003,0.048,0.007
14_2_73_p0,0.025,0.002,0.048,0.004
14_2_74_p0,0.024,0.002,0.053,0.006
14_2_75_p0,0.025,0.001,0.045,0.004
14_2_76_p0,0.028,0.001,0.055,0.005
14_2_77_p0,0.025,0.002,0.047,0.004
14_2_78_p0,0.025,0.002,0.048,0.005
14_2_79_p0,0.026,0.002,0.046,0.005
14_2_7_p0,0.03,0.004,0.061,0.01
14_2_80_p0,0.027,0.002,0.05,0.006
14_2_81_p0,0.028,0.002,0.051,0.009
14_2_82_p0,0.028,0.003,0.051,0.008
14_2_87_p1,0.028,0.003,0.058,0.018
14_2_88_p1,0.025,0.002,0.047,0.009
14_2_89_p1,0.026,0.003,0.054,0.017
14_2_8_p0,0.029,0.003,0.062,0.012
14_2_90_p1,0.027,0.001,0.054,0.007
14_2_91_p1,0.024,0.002,0.054,0.009
14_2_92_p1,0.026,0.001,0.051,0.007
14_2_93_p1,0.027,0.002,0.06,0.009
14_2_94_p1,0.025,0.002,0.052,0.015
14_2_95_p1,0.026,0.002,0.057,0.009
14_2_96_p1,0.024,0.001,0.053,0.008
14_2_97_p1,0.027,0.002,0.056,0.014
14_2_98_p1,0.024,0.002,0.049,0.006
14_2_99_p1,0.028,0.004,0.075,0.021
14_2_9_p0,0.038,0.005,0.072,0.011
15_1_11_p1,0.036,0.007,0.08,0.025
15_1_12_p1,0.062,0.036,0.142,0.095
15_1_13_p1,0.032,0.019,0.072,0.07
15_1_14_p1,0.032,0.007,0.063,0.014
15_1_15_p1,0.07,0.026,0.162,0.065
15_1_16_p1,0.03,0.002,0.056,0.008
15_1_17_p1,0.067,0.03,0.147,0.071
15_1_20_p0,0.026,0.004,0.051,0.006
15_1_21_p0,0.027,0.003,0.054,0.006
15_1_22_p0,0.026,0.003,0.052,0.007
15_1_23_p0,0.028,0.003,0.057,0.006
15_1_24_p0,0.023,0.001,0.043,0.004
15_1_25_p0,0.023,0.002,0.045,0.004
15_1_26_p0,0.024,0.002,0.048,0.007
15_1_29_p1,0.025,0.001,0.044,0.004
15_1_2_p0,0.027,0.003,0.049,0.006
15_1_30_p1,0.024,0.002,0.048,0.007
15_1_31_p1,0.025,0.002,0.048,0.005
15_1_32_p1,0.025,0.002,0.047,0.006
15_1_33_p1,0.024,0.002,0.046,0.008
15_1_34_p1,0.024,0.002,0.045,0.01
15_1_35_p1,0.026,0.002,0.049,0.005
15_1_38_p0,0.032,0.007,0.062,0.016
15_1_39_p0,0.027,0.004,0.054,0.011
15_1_3_p0,0.033,0.009,0.081,0.037
15_1_40_p0,0.035,0.006,0.085,0.034
15_1_41_p0,0.03,0.005,0.058,0.009
15_1_42_p0,0.028,0.004,0.059,0.016
15_1_43_p0,0.029,0.003,0.053,0.009
15_1_44_p0,0.038,0.01,0.088,0.036
15_1_47_p1,0.059,0.029,0.135,0.079
15_1_48_p1,0.05,0.026,0.095,0.048
15_1_49_p1,0.039,0.009,0.102,0.048
15_1_4_p0,0.029,0.01,0.063,0.024
15_1_50_p1,0.03,0.003,0.059,0.01
15_1_51_p1,0.033,0.008,0.072,0.03
15_1_52_p1,0.028,0.002,0.049,0.005
15_1_53_p1,0.026,0.003,0.054,0.006
15_1_5_p0,0.026,0.003,0.052,0.006
15_1_6_p0,0.033,0.011,0.073,0.032
15_1_7_p0,0.031,0.009,0.067,0.029
15_1_8_p0,0.036,0.016,0.086,0.048
15_1_tpose_p0,0.024,0.001,0.047,0.003
15_1_tpose_p1,0.023,0.003,0.048,0.008
15_2_100_p1,0.049,0.012,0.124,0.038
15_2_101_p1,0.069,0.02,0.164,0.07
15_2_102_p1,0.033,0.006,0.069,0.024
15_2_103_p1,0.071,0.065,0.175,0.205
15_2_104_p1,0.056,0.013,0.145,0.044
15_2_10_p0,0.051,0.012,0.119,0.029
15_2_11_p0,0.028,0.004,0.062,0.015
15_2_12_p0,0.032,0.014,0.074,0.04
15_2_13_p0,0.031,0.011,0.071,0.03
15_2_14_p0,0.025,0.004,0.055,0.013
15_2_19_p1,0.032,0.007,0.071,0.022
15_2_20_p1,0.059,0.01,0.134,0.03
15_2_21_p1,0.033,0.012,0.073,0.038
15_2_22_p1,0.055,0.031,0.122,0.085
15_2_23_p1,0.058,0.048,0.153,0.178
15_2_24_p1,0.043,0.016,0.094,0.049
15_2_25_p1,0.031,0.003,0.066,0.011
15_2_26_p1,0.068,0.036,0.149,0.081
15_2_27_p1,0.044,0.037,0.09,0.077
15_2_28_p1,0.043,0.047,0.094,0.123
15_2_29_p1,0.031,0.003,0.065,0.009
15_2_2_p0,0.03,0.006,0.065,0.015
15_2_30_p1,0.064,0.04,0.137,0.079
15_2_37_p0,0.028,0.004,0.055,0.008
15_2_38_p0,0.027,0.004,0.053,0.01
15_2_39_p0,0.029,0.003,0.061,0.011
15_2_3_p0,0.039,0.013,0.087,0.045
15_2_40_p0,0.026,0.003,0.051,0.007
15_2_41_p0,0.025,0.001,0.053,0.003
15_2_42_p0,0.027,0.002,0.052,0.004
15_2_43_p0,0.028,0.004,0.055,0.011
15_2_44_p0,0.027,0.004,0.055,0.013
15_2_45_p0,0.026,0.003,0.048,0.007
15_2_46_p0,0.027,0.003,0.055,0.01
15_2_47_p0,0.047,0.017,0.112,0.05
15_2_48_p0,0.029,0.006,0.061,0.02
15_2_49_p0,0.026,0.003,0.05,0.009
15_2_4_p0,0.032,0.003,0.069,0.011
15_2_50_p0,0.029,0.008,0.067,0.032
15_2_55_p1,0.028,0.004,0.058,0.015
15_2_56_p1,0.025,0.002,0.048,0.004
15_2_57_p1,0.036,0.016,0.076,0.052
15_2_58_p1,0.032,0.003,0.062,0.007
15_2_59_p1,0.031,0.006,0.062,0.016
15_2_5_p0,0.03,0.007,0.063,0.024
15_2_60_p1,0.039,0.008,0.086,0.024
15_2_61_p1,0.025,0.003,0.048,0.015
15_2_62_p1,0.043,0.008,0.109,0.033
15_2_63_p1,0.048,0.015,0.119,0.048
15_2_64_p1,0.026,0.004,0.052,0.011
15_2_65_p1,0.04,0.021,0.089,0.06
15_2_66_p1,0.033,0.013,0.068,0.036
15_2_67_p1,0.037,0.022,0.083,0.06
15_2_68_p1,0.025,0.003,0.048,0.011
15_2_69_p1,0.027,0.001,0.052,0.008
15_2_6_p0,0.042,0.028,0.097,0.073
15_2_70_p1,0.036,0.061,0.082,0.198
15_2_71_p1,0.03,0.009,0.077,0.05
15_2_72_p1,0.026,0.002,0.049,0.005
15_2_77_p0,0.034,0.018,0.079,0.053
15_2_78_p0,0.032,0.015,0.074,0.043
15_2_79_p0,0.053,0.028,0.135,0.086
15_2_7_p0,0.025,0.004,0.052,0.009
15_2_80_p0,0.033,0.013,0.083,0.046
15_2_81_p0,0.027,0.004,0.058,0.015
15_2_82_p0,0.025,0.005,0.051,0.01
15_2_83_p0,0.039,0.015,0.092,0.036
15_2_84_p0,0.024,0.004,0.053,0.011
15_2_85_p0,0.025,0.003,0.051,0.01
15_2_86_p0,0.023,0.003,0.049,0.01
15_2_87_p0,0.028,0.004,0.061,0.015
15_2_88_p0,0.029,0.004,0.065,0.019
15_2_89_p0,0.032,0.007,0.071,0.026
15_2_8_p0,0.036,0.014,0.085,0.046
15_2_92_p1,0.027,0.002,0.052,0.008
15_2_93_p1,0.028,0.005,0.06,0.012
15_2_94_p1,0.032,0.007,0.072,0.033
15_2_95_p1,0.032,0.009,0.074,0.027
15_2_96_p1,0.053,0.027,0.118,0.056
15_2_97_p1,0.032,0.006,0.074,0.016
15_2_98_p1,0.056,0.01,0.149,0.035
15_2_99_p1,0.062,0.02,0.169,0.069
15_2_9_p0,0.027,0.004,0.057,0.011
16_1_11_p1,0.032,0.003,0.064,0.01
16_1_12_p1,0.032,0.003,0.07,0.012
16_1_13_p1,0.034,0.005,0.069,0.018
16_1_14_p1,0.031,0.003,0.064,0.012
16_1_15_p1,0.034,0.007,0.071,0.028
16_1_16_p1,0.028,0.003,0.051,0.006
16_1_17_p1,0.029,0.002,0.058,0.008
16_1_20_p0,0.029,0.002,0.053,0.008
16_1_21_p0,0.027,0.001,0.05,0.004
16_1_22_p0,0.028,0.001,0.05,0.005
16_1_23_p0,0.031,0.001,0.056,0.009
16_1_24_p0,0.028,0.002,0.049,0.006
16_1_25_p0,0.029,0.002,0.053,0.007
16_1_26_p0,0.027,0.002,0.049,0.004
16_1_29_p1,0.03,0.003,0.056,0.009
16_1_2_p0,0.031,0.002,0.057,0.007
16_1_30_p1,0.028,0.002,0.05,0.005
16_1_31_p1,0.029,0.002,0.05,0.006
16_1_32_p1,0.03,0.002,0.054,0.006
16_1_33_p1,0.031,0.002,0.056,0.008
16_1_34_p1,0.029,0.002,0.048,0.007
16_1_35_p1,0.029,0.002,0.053,0.01
16_1_38_p0,0.031,0.001,0.066,0.002
16_1_39_p0,0.032,0.002,0.063,0.007
16_1_3_p0,0.033,0.004,0.064,0.014
16_1_40_p0,0.033,0.003,0.067,0.014
16_1_41_p0,0.031,0.003,0.063,0.01
16_1_42_p0,0.033,0.003,0.071,0.006
16_1_43_p0,0.031,0.002,0.062,0.007
16_1_44_p0,0.03,0.002,0.056,0.008
16_1_47_p1,0.036,0.005,0.071,0.022
16_1_48_p1,0.034,0.004,0.067,0.011
16_1_49_p1,0.031,0.002,0.054,0.006
16_1_4_p0,0.03,0.003,0.058,0.017
16_1_50_p1,0.036,0.004,0.076,0.016
16_1_51_p1,0.032,0.002,0.057,0.009
16_1_52_p1,0.038,0.006,0.072,0.016
16_1_53_p1,0.036,0.006,0.071,0.017
16_1_5_p0,0.037,0.004,0.077,0.012
16_1_6_p0,0.031,0.005,0.062,0.014
16_1_7_p0,0.027,0.002,0.046,0.007
16_1_8_p0,0.031,0.002,0.062,0.01
16_1_tpose_p0,0.036,0.001,0.059,0.003
16_1_tpose_p1,0.034,0.001,0.066,0.004
16_2_100_p1,0.027,0.002,0.051,0.005
16_2_101_p1,0.026,0.002,0.051,0.003
16_2_102_p1,0.025,0.002,0.046,0.004
16_2_103_p1,0.026,0.002,0.05,0.006
16_2_104_p1,0.026,0.002,0.048,0.01
16_2_105_p1,0.026,0.002,0.051,0.005
16_2_106_p1,0.027,0.002,0.051,0.005
16_2_107_p1,0.025,0.001,0.049,0.005
16_2_108_p1,0.029,0.002,0.06,0.009
16_2_109_p1,0.026,0.002,0.05,0.004
16_2_10_p0,0.031,0.003,0.059,0.01
16_2_110_p1,0.028,0.003,0.055,0.007
16_2_111_p1,0.029,0.004,0.066,0.018
16_2_112_p1,0.031,0.006,0.074,0.028
16_2_113_p1,0.027,0.002,0.053,0.007
16_2_114_p1,0.025,0.002,0.047,0.007
16_2_115_p1,0.027,0.002,0.051,0.005
16_2_11_p0,0.032,0.003,0.066,0.012
16_2_12_p0,0.033,0.004,0.066,0.014
16_2_13_p0,0.03,0.004,0.058,0.01
16_2_14_p0,0.032,0.003,0.065,0.014
16_2_19_p1,0.045,0.008,0.098,0.024
16_2_20_p1,0.033,0.003,0.074,0.015
16_2_21_p1,0.036,0.005,0.081,0.018
16_2_22_p1,0.033,0.003,0.075,0.015
16_2_23_p1,0.033,0.005,0.076,0.021
16_2_24_p1,0.061,0.038,0.144,0.099
16_2_25_p1,0.052,0.012,0.095,0.027
16_2_26_p1,0.036,0.012,0.073,0.033
16_2_27_p1,0.032,0.003,0.066,0.012
16_2_28_p1,0.028,0.003,0.055,0.015
16_2_29_p1,0.03,0.003,0.068,0.015
16_2_30_p1,0.03,0.004,0.065,0.018
16_2_31_p1,0.029,0.002,0.061,0.009
16_2_32_p1,0.026,0.003,0.051,0.009
16_2_38_p0,0.029,0.003,0.058,0.015
16_2_39_p0,0.03,0.002,0.054,0.004
16_2_40_p0,0.032,0.002,0.059,0.007
16_2_41_p0,0.035,0.008,0.072,0.032
16_2_42_p0,0.028,0.001,0.049,0.004
16_2_43_p0,0.028,0.002,0.049,0.007
16_2_44_p0,0.029,0.003,0.055,0.01
16_2_45_p0,0.047,0.026,0.103,0.067
16_2_46_p0,0.03,0.002,0.053,0.009
16_2_47_p0,0.027,0.002,0.05,0.008
16_2_48_p0,0.029,0.002,0.06,0.01
16_2_49_p0,0.032,0.003,0.061,0.011
16_2_4_p0,0.029,0.002,0.054,0.008
16_2_50_p0,0.03,0.002,0.055,0.007
16_2_51_p0,0.032,0.001,0.057,0.006
16_2_52_p0,0.035,0.006,0.075,0.025
16_2_56_p1,0.044,0.009,0.1,0.032
16_2_57_p1,0.034,0.011,0.07,0.032
16_2_58_p1,0.034,0.008,0.069,0.026
16_2_59_p1,0.031,0.006,0.064,0.018
16_2_5_p0,0.047,0.014,0.107,0.04
16_2_60_p1,0.036,0.005,0.076,0.021
16_2_61_p1,0.056,0.013,0.114,0.023
16_2_62_p1,0.044,0.015,0.111,0.052
16_2_63_p1,0.06,0.031,0.127,0.056
16_2_64_p1,0.036,0.005,0.08,0.019
16_2_65_p1,0.03,0.002,0.059,0.008
16_2_66_p1,0.03,0.003,0.065,0.016
16_2_67_p1,0.033,0.005,0.063,0.011
16_2_68_p1,0.031,0.002,0.06,0.009
16_2_6_p0,0.03,0.002,0.055,0.01
16_2_75_p0,0.029,0.002,0.05,0.008
16_2_76_p0,0.03,0.001,0.057,0.004
16_2_77_p0,0.03,0.001,0.052,0.005
16_2_78_p0,0.031,0.001,0.054,0.006
16_2_79_p0,0.03,0.001,0.056,0.008
16_2_7_p0,0.03,0.002,0.06,0.01
16_2_80_p0,0.03,0.001,0.056,0.003
16_2_81_p0,0.031,0.001,0.051,0.003
16_2_82_p0,0.032,0.002,0.054,0.005
16_2_83_p0,0.031,0.001,0.056,0.005
16_2_84_p0,0.034,0.002,0.063,0.009
16_2_85_p0,0.031,0.002,0.061,0.013
16_2_86_p0,0.035,0.002,0.066,0.011
16_2_87_p0,0.029,0.002,0.05,0.006
16_2_88_p0,0.031,0.002,0.058,0.01
16_2_89_p0,0.03,0.002,0.052,0.004
16_2_8_p0,0.031,0.004,0.067,0.021
16_2_90_p0,0.036,0.003,0.087,0.018
16_2_96_p1,0.028,0.002,0.055,0.004
16_2_97_p1,0.028,0.001,0.054,0.003
16_2_98_p1,0.027,0.002,0.055,0.007
16_2_99_p1,0.027,0.002,0.052,0.003
16_2_9_p0,0.032,0.003,0.065,0.011
17_1_11_p1,0.029,0.004,0.07,0.016
17_1_12_p1,0.031,0.005,0.065,0.019
17_1_13_p1,0.03,0.003,0.051,0.009
17_1_14_p1,0.033,0.004,0.064,0.01
17_1_15_p1,0.028,0.003,0.056,0.01
17_1_16_p1,0.028,0.004,0.052,0.015
17_1_17_p1,0.027,0.003,0.054,0.009
17_1_20_p0,0.027,0.002,0.053,0.006
17_1_21_p0,0.027,0.002,0.056,0.004
17_1_22_p0,0.027,0.001,0.055,0.004
17_1_23_p0,0.027,0.001,0.053,0.003
17_1_24_p0,0.027,0.001,0.059,0.007
17_1_25_p0,0.028,0.001,0.06,0.006
17_1_26_p0,0.028,0.001,0.056,0.005
17_1_29_p1,0.027,0.003,0.055,0.004
17_1_2_p0,0.036,0.004,0.08,0.014
17_1_30_p1,0.029,0.003,0.063,0.012
17_1_31_p1,0.026,0.001,0.049,0.006
17_1_32_p1,0.026,0.001,0.047,0.003
17_1_33_p1,0.027,0.002,0.049,0.004
17_1_34_p1,0.029,0.002,0.052,0.004
17_1_35_p1,0.025,0.001,0.045,0.006
17_1_38_p0,0.031,0.005,0.062,0.013
17_1_39_p0,0.044,0.018,0.105,0.053
17_1_3_p0,0.039,0.005,0.09,0.022
17_1_40_p0,0.034,0.004,0.073,0.015
17_1_41_p0,0.033,0.006,0.064,0.016
17_1_42_p0,0.043,0.006,0.088,0.018
17_1_43_p0,0.032,0.003,0.062,0.009
17_1_44_p0,0.077,0.038,0.175,0.093
17_1_47_p1,0.038,0.005,0.08,0.013
17_1_48_p1,0.033,0.005,0.064,0.014
17_1_49_p1,0.028,0.003,0.053,0.009
17_1_4_p0,0.028,0.004,0.058,0.012
17_1_50_p1,0.029,0.001,0.056,0.006
17_1_51_p1,0.032,0.003,0.064,0.013
17_1_52_p1,0.034,0.005,0.078,0.027
17_1_53_p1,0.031,0.003,0.06,0.009
17_1_5_p0,0.037,0.004,0.081,0.025
17_1_6_p0,0.047,0.017,0.105,0.041
17_1_7_p0,0.036,0.012,0.084,0.057
17_1_8_p0,0.03,0.003,0.055,0.008
17_1_tpose_p0,0.023,0.001,0.048,0.003
17_1_tpose_p1,0.027,0.001,0.058,0.002
17_2_103_p1,0.032,0.005,0.066,0.02
17_2_104_p1,0.039,0.024,0.082,0.06
17_2_105_p1,0.031,0.003,0.061,0.014
17_2_106_p1,0.03,0.004,0.067,0.018
17_2_107_p1,0.032,0.003,0.074,0.019
17_2_108_p1,0.027,0.002,0.052,0.006
17_2_109_p1,0.029,0.002,0.058,0.006
17_2_10_p0,0.03,0.002,0.062,0.01
17_2_110_p1,0.029,0.001,0.053,0.004
17_2_111_p1,0.027,0.003,0.055,0.008
17_2_112_p1,0.028,0.002,0.05,0.006
17_2_113_p1,0.032,0.007,0.067,0.022
17_2_11_p0,0.029,0.003,0.054,0.01
17_2_12_p0,0.03,0.003,0.055,0.009
17_2_13_p0,0.028,0.004,0.057,0.012
17_2_14_p0,0.028,0.003,0.056,0.01
17_2_15_p0,0.027,0.003,0.052,0.01
17_2_16_p0,0.03,0.003,0.064,0.016
17_2_17_p0,0.03,0.002,0.057,0.011
17_2_22_p1,0.03,0.002,0.061,0.011
17_2_23_p1,0.03,0.004,0.058,0.013
17_2_24_p1,0.029,0.003,0.06,0.012
17_2_25_p1,0.032,0.004,0.069,0.013
17_2_26_p1,0.038,0.007,0.087,0.015
17_2_27_p1,0.03,0.004,0.063,0.008
17_2_28_p1,0.028,0.005,0.063,0.021
17_2_29_p1,0.028,0.003,0.062,0.017
17_2_30_p1,0.029,0.003,0.054,0.01
17_2_31_p1,0.028,0.002,0.056,0.006
17_2_32_p1,0.031,0.003,0.062,0.009
17_2_33_p1,0.032,0.006,0.077,0.022
17_2_34_p1,0.03,0.004,0.062,0.01
17_2_39_p0,0.025,0.001,0.044,0.004
17_2_3_p0,0.039,0.007,0.098,0.038
17_2_40_p0,0.024,0.002,0.044,0.005
17_2_41_p0,0.026,0.001,0.045,0.005
17_2_42_p0,0.026,0.002,0.044,0.005
17_2_43_p0,0.025,0.002,0.045,0.005
17_2_44_p0,0.024,0.001,0.044,0.003
17_2_45_p0,0.027,0.002,0.055,0.003
17_2_46_p0,0.026,0.002,0.052,0.004
17_2_47_p0,0.026,0.002,0.052,0.004
17_2_48_p0,0.023,0.001,0.05,0.003
17_2_49_p0,0.023,0.001,0.046,0.004
17_2_4_p0,0.036,0.008,0.074,0.025
17_2_50_p0,0.028,0.003,0.054,0.007
17_2_51_p0,0.025,0.002,0.046,0.006
17_2_52_p0,0.026,0.001,0.053,0.006
17_2_53_p0,0.025,0.002,0.043,0.006
17_2_54_p0,0.026,0.002,0.048,0.006
17_2_55_p0,0.027,0.001,0.05,0.005
17_2_56_p0,0.025,0.001,0.05,0.004
17_2_57_p0,0.025,0.001,0.046,0.003
17_2_5_p0,0.036,0.007,0.081,0.031
17_2_64_p1,0.034,0.001,0.055,0.005
17_2_65_p1,0.033,0.002,0.055,0.007
17_2_66_p1,0.032,0.002,0.062,0.011
17_2_67_p1,0.031,0.001,0.052,0.005
17_2_68_p1,0.034,0.002,0.057,0.004
17_2_69_p1,0.031,0.001,0.05,0.003
17_2_6_p0,0.03,0.003,0.061,0.01
17_2_70_p1,0.032,0.001,0.05,0.003
17_2_71_p1,0.033,0.001,0.054,0.003
17_2_72_p1,0.031,0.001,0.05,0.003
17_2_73_p1,0.032,0.001,0.052,0.004
17_2_74_p1,0.032,0.001,0.052,0.004
17_2_75_p1,0.032,0.002,0.053,0.005
17_2_76_p1,0.03,0.003,0.051,0.01
17_2_77_p1,0.034,0.002,0.061,0.005
17_2_78_p1,0.031,0.001,0.051,0.005
17_2_79_p1,0.033,0.003,0.058,0.009
17_2_7_p0,0.027,0.003,0.054,0.009
17_2_80_p1,0.03,0.002,0.051,0.003
17_2_81_p1,0.031,0.001,0.054,0.004
17_2_86_p0,0.025,0.002,0.049,0.005
17_2_87_p0,0.027,0.002,0.053,0.005
17_2_88_p0,0.03,0.004,0.062,0.014
17_2_89_p0,0.029,0.006,0.061,0.021
17_2_8_p0,0.028,0.002,0.053,0.008
17_2_90_p0,0.038,0.014,0.087,0.034
17_2_91_p0,0.029,0.003,0.063,0.015
17_2_92_p0,0.029,0.004,0.057,0.014
17_2_93_p0,0.035,0.015,0.078,0.04
17_2_94_p0,0.043,0.022,0.101,0.066
17_2_95_p0,0.029,0.005,0.061,0.017
17_2_96_p0,0.04,0.022,0.096,0.072
17_2_97_p0,0.034,0.018,0.08,0.055
17_2_98_p0,0.026,0.002,0.054,0.008
17_2_99_p0,0.058,0.031,0.131,0.077
17_2_9_p0,0.028,0.005,0.059,0.022
18_1_11_p1,0.028,0.002,0.056,0.008
18_1_12_p1,0.028,0.002,0.05,0.005
18_1_13_p1,0.03,0.002,0.058,0.008
18_1_14_p1,0.03,0.004,0.057,0.011
18_1_15_p1,0.03,0.003,0.056,0.006
18_1_16_p1,0.03,0.002,0.058,0.004
18_1_17_p1,0.029,0.003,0.056,0.008
18_1_20_p0,0.028,0.002,0.054,0.01
18_1_21_p0,0.031,0.008,0.068,0.018
18_1_22_p0,0.028,0.005,0.055,0.012
18_1_23_p0,0.026,0.003,0.055,0.011
18_1_24_p0,0.055,0.022,0.155,0.085
18_1_25_p0,0.04,0.024,0.085,0.065
18_1_26_p0,0.034,0.006,0.075,0.022
18_1_29_p1,0.024,0.002,0.053,0.007
18_1_2_p0,0.026,0.002,0.047,0.005
18_1_30_p1,0.026,0.002,0.053,0.009
18_1_31_p1,0.039,0.008,0.075,0.018
18_1_32_p1,0.029,0.01,0.077,0.035
18_1_33_p1,0.03,0.004,0.068,0.013
18_1_34_p1,0.029,0.004,0.057,0.011
18_1_35_p1,0.03,0.005,0.064,0.013
18_1_38_p0,0.03,0.008,0.067,0.025
18_1_39_p0,0.051,0.021,0.124,0.054
18_1_3_p0,0.027,0.003,0.05,0.005
18_1_40_p0,0.044,0.031,0.089,0.055
18_1_41_p0,0.033,0.005,0.075,0.021
18_1_42_p0,0.028,0.003,0.055,0.008
18_1_43_p0,0.028,0.005,0.056,0.015
18_1_44_p0,0.032,0.003,0.067,0.011
18_1_47_p1,0.033,0.015,0.075,0.045
18_1_48_p1,0.044,0.013,0.094,0.038
18_1_49_p1,0.035,0.006,0.085,0.022
18_1_4_p0,0.025,0.003,0.048,0.004
18_1_50_p1,0.034,0.007,0.086,0.029
18_1_51_p1,0.027,0.003,0.06,0.01
18_1_52_p1,0.025,0.005,0.054,0.014
18_1_53_p1,0.029,0.002,0.06,0.012
18_1_5_p0,0.026,0.002,0.05,0.008
18_1_6_p0,0.026,0.002,0.051,0.006
18_1_7_p0,0.027,0.002,0.052,0.005
18_1_8_p0,0.026,0.003,0.05,0.006
18_1_tpose_p0,0.026,0.001,0.051,0.004
18_1_tpose_p1,0.027,0.001,0.053,0.004
18_2_10_p0,0.031,0.006,0.062,0.018
18_2_11_p0,0.037,0.007,0.087,0.025
18_2_12_p0,0.028,0.003,0.06,0.008
18_2_13_p0,0.039,0.018,0.084,0.047
18_2_14_p0,0.039,0.014,0.084,0.041
18_2_15_p0,0.049,0.033,0.096,0.06
18_2_16_p0,0.039,0.005,0.092,0.024
18_2_17_p0,0.031,0.003,0.059,0.008
18_2_18_p0,0.032,0.003,0.061,0.008
18_2_23_p1,0.04,0.008,0.082,0.027
18_2_24_p1,0.034,0.006,0.079,0.015
18_2_25_p1,0.04,0.021,0.092,0.062
18_2_26_p1,0.027,0.003,0.056,0.009
18_2_27_p1,0.029,0.004,0.068,0.013
18_2_28_p1,0.028,0.004,0.057,0.01
18_2_29_p1,0.028,0.004,0.059,0.008
18_2_30_p1,0.029,0.006,0.062,0.015
18_2_31_p1,0.063,0.028,0.141,0.065
18_2_32_p1,0.039,0.014,0.087,0.046
18_2_3_p0,0.029,0.002,0.063,0.01
18_2_4_p0,0.056,0.01,0.149,0.031
18_2_5_p0,0.041,0.023,0.091,0.06
